Race_Ethc_Visa,Gender,HSGPA,SAT_Total,Entry_Term,Term.GPA,Persistence.NextYear,N.RegisteredCourse,N.Ws,N.DFs,N.As,N.PassedCourse,N.CourseTaken,Perc.PassedEnrolledCourse,Perc.Pass,Perc.Withd,N.GraduateCourse,FullTimeStudent
Multi,Male,76,1514,2141,3.96,1,1,0,0,0,1,1,1,1,0,0,0
Afram,Female,91,1435,2141,3.8,1,1,1,0,0,0,0,0,NA,1,0,0
Afram,Male,82,963,2141,0.71,0,6,0,2,2,4,6,0.666666667,0.666666667,0,1,1
White,Male,99,1326,2141,1.96,1,4,0,3,0,1,4,0.25,0.25,0,2,1
White,Female,84,1080,2141,1.54,1,5,0,0,2,5,5,1,1,0,2,1
Multi,Male,68,1583,2141,3.87,1,4,1,2,0,1,3,0.25,0.333333333,0.25,0,1
Multi,Female,92,1017,2141,2.79,1,6,1,1,1,4,5,0.666666667,0.8,0.166666667,2,1
Hispanic,Male,56,1271,2141,3.33,1,4,1,0,2,3,3,0.75,1,0.25,1,1
Afram,Female,66,1270,2141,3.04,1,2,0,2,0,0,2,0,0,0,0,0
Multi,Female,59,1392,2141,2.21,1,7,0,2,3,5,7,0.714285714,0.714285714,0,2,1
White,Male,71,1163,2131,3.81,1,2,0,0,1,2,2,1,1,0,1,0
Asian,Male,85,1164,2141,2.21,1,2,0,1,0,1,2,0.5,0.5,0,0,0
Afram,Male,89,1600,2141,1.57,1,4,0,2,1,2,4,0.5,0.5,0,1,1
Afram,Female,71,1538,2141,3.23,1,2,0,0,1,2,2,1,1,0,1,0
White,Male,70,1195,2141,2.56,1,4,1,1,2,2,3,0.5,0.666666667,0.25,1,1
Hispanic,Female,65,1539,2141,3.87,1,3,0,2,1,1,3,0.333333333,0.333333333,0,0,1
Hispanic,Female,82,1139,2141,1.17,1,5,0,0,1,5,5,1,1,0,0,1
Asian,Female,58,989,2141,2.27,1,5,0,2,1,3,5,0.6,0.6,0,2,1
White,Male,92,1556,2141,2.84,1,3,1,1,0,1,2,0.333333333,0.5,0.333333333,1,0
Hispanic,Male,73,990,2141,3.24,1,2,1,1,0,0,1,0,0,0.5,1,0
Hispanic,Female,83,1058,2141,2.08,1,3,1,1,0,1,2,0.333333333,0.5,0.333333333,0,0
Asian,Male,69,1419,2131,3.83,1,4,1,0,1,3,3,0.75,1,0.25,1,1
Afram,Male,61,1270,2141,1.72,1,2,0,1,1,1,2,0.5,0.5,0,0,0
Asian,Female,73,1200,2141,2.28,1,4,0,2,0,2,4,0.5,0.5,0,0,1
Multi,Male,72,1245,2141,3.23,1,2,1,0,1,1,1,0.5,1,0.5,0,0
Asian,Male,71,1597,2141,0.85,0,2,0,1,0,1,2,0.5,0.5,0,0,0
White,Female,67,1593,2141,2.12,1,1,1,0,0,0,0,0,NA,1,0,0
Multi,Female,80,1381,2141,2.74,1,5,0,3,2,2,5,0.4,0.4,0,0,1
Asian,Female,75,1299,2141,1.41,1,2,0,0,0,2,2,1,1,0,0,0
White,Female,67,1428,2141,1.43,1,3,1,1,0,1,2,0.333333333,0.5,0.333333333,0,0
Multi,Female,93,1256,2141,1.11,1,4,1,2,0,1,3,0.25,0.333333333,0.25,1,1
Hispanic,Male,98,1335,2141,2.22,1,8,0,2,2,6,8,0.75,0.75,0,2,1
Afram,Female,71,1057,2131,0.95,1,6,0,1,2,5,6,0.833333333,0.833333333,0,1,1
Afram,Female,81,1293,2131,0.75,0,2,0,0,2,2,2,1,1,0,0,0
White,Female,76,1146,2141,2.72,1,2,1,0,0,1,1,0.5,1,0.5,2,0
White,Male,84,1567,2141,0.8,0,6,1,3,0,2,5,0.333333333,0.4,0.166666667,0,1
Multi,Male,71,1424,2141,2.59,1,3,0,2,0,1,3,0.333333333,0.333333333,0,0,1
Asian,Female,61,1429,2141,0.88,1,2,0,1,0,1,2,0.5,0.5,0,0,0
Afram,Female,85,1335,2141,1.68,1,2,0,2,0,0,2,0,0,0,0,0
White,Female,93,1154,2141,3.95,1,5,0,1,1,4,5,0.8,0.8,0,2,1
Multi,Male,95,1460,2141,3.74,1,3,0,0,0,3,3,1,1,0,0,1
Afram,Female,90,1086,2141,2.94,1,4,1,1,0,2,3,0.5,0.666666667,0.25,1,1
Afram,Female,94,1069,2141,2.41,1,4,1,2,0,1,3,0.25,0.333333333,0.25,1,1
Asian,Male,92,1587,2141,3.58,1,6,1,0,1,5,5,0.833333333,1,0.166666667,1,1
Asian,Female,96,1562,2131,3.93,1,2,0,0,2,2,2,1,1,0,0,0
Asian,Male,84,1046,2141,2.24,1,4,0,2,1,2,4,0.5,0.5,0,0,1
Hispanic,Male,65,1245,2141,2.27,1,1,0,0,1,1,1,1,1,0,0,0
Multi,Female,91,1522,2141,2.61,1,3,1,1,0,1,2,0.333333333,0.5,0.333333333,1,0
Hispanic,Female,62,1179,2141,3.64,1,10,1,3,2,6,9,0.6,0.666666667,0.1,1,1
Asian,Female,58,1103,2141,3.6,1,3,1,0,0,2,2,0.666666667,1,0.333333333,1,0
Hispanic,Male,78,1252,2141,3,1,1,0,0,0,1,1,1,1,0,0,0
Afram,Female,75,1329,2141,1.08,1,3,0,2,1,1,3,0.333333333,0.333333333,0,0,1
Hispanic,Female,81,1570,2141,0.69,0,4,1,2,0,1,3,0.25,0.333333333,0.25,0,1
Asian,Female,79,1086,2141,3.24,1,8,2,3,1,3,6,0.375,0.5,0.25,1,1
Hispanic,Female,74,1272,2141,2.09,1,6,0,0,3,6,6,1,1,0,0,1
Afram,Male,74,1359,2131,3.01,1,3,0,0,3,3,3,1,1,0,0,1
Multi,Female,72,1066,2141,1.51,1,3,1,0,1,2,2,0.666666667,1,0.333333333,0,0
White,Female,86,1136,2141,1.26,1,5,1,0,0,4,4,0.8,1,0.2,0,1
Hispanic,Female,68,1357,2141,3.47,1,3,2,0,1,1,1,0.333333333,1,0.666666667,1,0
Afram,Female,81,1583,2141,2.03,1,2,1,0,0,1,1,0.5,1,0.5,1,0
Asian,Male,58,1334,2141,0.51,1,5,1,2,2,2,4,0.4,0.5,0.2,1,1
Asian,Female,63,1298,2141,1.53,1,2,0,1,1,1,2,0.5,0.5,0,0,0
Afram,Male,83,1388,2141,0.97,1,2,0,0,0,2,2,1,1,0,0,0
Multi,Male,56,1228,2141,2.71,1,3,1,0,2,2,2,0.666666667,1,0.333333333,1,0
Hispanic,Male,74,966,2141,3.84,1,2,0,0,1,2,2,1,1,0,0,0
White,Male,73,1488,2141,2.64,1,4,0,3,0,1,4,0.25,0.25,0,0,1
Asian,Female,95,1493,2131,1.17,1,5,1,0,4,4,4,0.8,1,0.2,0,1
Asian,Male,81,1490,2141,1.14,1,3,0,2,0,1,3,0.333333333,0.333333333,0,0,1
Asian,Female,97,1001,2141,2.33,1,6,1,1,3,4,5,0.666666667,0.8,0.166666667,2,1
Asian,Male,79,1421,2141,1.29,1,5,0,2,1,3,5,0.6,0.6,0,0,1
Asian,Female,89,1181,2141,3.52,1,6,2,2,0,2,4,0.333333333,0.5,0.333333333,2,1
Afram,Female,99,1141,2141,2.01,1,4,0,0,1,4,4,1,1,0,1,1
Asian,Male,72,1408,2141,0.88,1,3,1,1,1,1,2,0.333333333,0.5,0.333333333,0,0
Multi,Male,78,1212,2141,1.58,1,6,2,1,1,3,4,0.5,0.75,0.333333333,2,1
Afram,Male,73,1446,2141,3.1,1,4,1,1,2,2,3,0.5,0.666666667,0.25,0,1
Multi,Female,87,1384,2141,2.41,1,2,0,0,0,2,2,1,1,0,1,0
Multi,Female,82,1138,2141,0.96,1,1,0,1,0,0,1,0,0,0,0,0
Hispanic,Female,97,1027,2131,2.11,1,5,1,0,3,4,4,0.8,1,0.2,1,1
White,Female,71,1173,2141,2.44,1,2,1,1,0,0,1,0,0,0.5,0,0
Asian,Male,93,1234,2141,2.95,1,3,1,1,0,1,2,0.333333333,0.5,0.333333333,0,0
Asian,Female,82,1117,2141,0.54,0,3,0,1,0,2,3,0.666666667,0.666666667,0,0,1
Hispanic,Female,72,1352,2141,3.32,1,3,0,1,1,2,3,0.666666667,0.666666667,0,0,1
Asian,Male,77,1433,2141,3.61,1,1,0,1,0,0,1,0,0,0,0,0
Asian,Male,72,1362,2141,3.08,1,1,0,1,0,0,1,0,0,0,0,0
Afram,Male,98,1213,2141,2.91,1,4,1,1,1,2,3,0.5,0.666666667,0.25,1,1
Hispanic,Female,59,1014,2141,2.69,1,4,1,2,0,1,3,0.25,0.333333333,0.25,1,1
Asian,Male,72,1478,2141,3.13,1,1,0,0,0,1,1,1,1,0,1,0
Asian,Male,70,1058,2141,0.68,0,6,0,2,2,4,6,0.666666667,0.666666667,0,0,1
Afram,Male,92,1264,2131,3.83,1,1,0,0,0,1,1,1,1,0,0,0
Multi,Male,89,1560,2141,0.52,0,2,0,2,0,0,2,0,0,0,1,0
Asian,Male,89,1183,2141,1.75,1,7,0,4,1,3,7,0.428571429,0.428571429,0,1,1
Afram,Female,82,978,2141,1.11,1,6,1,3,1,2,5,0.333333333,0.4,0.166666667,0,1
Hispanic,Male,79,1129,2141,0.87,0,2,0,0,1,2,2,1,1,0,0,0
Afram,Male,88,969,2141,1.25,1,4,0,1,1,3,4,0.75,0.75,0,2,1
Asian,Male,70,1107,2141,0.52,0,5,2,1,0,2,3,0.4,0.666666667,0.4,0,1
Multi,Male,97,1504,2141,3.61,1,4,1,1,0,2,3,0.5,0.666666667,0.25,0,1
Hispanic,Male,89,918,2141,2.06,1,3,1,2,0,0,2,0,0,0.333333333,0,0
White,Female,70,910,2141,1.55,1,4,1,2,0,1,3,0.25,0.333333333,0.25,2,1
Multi,Male,84,1294,2141,3.55,1,1,0,0,1,1,1,1,1,0,0,0
Asian,Female,81,1568,2131,3.1,1,1,0,0,0,1,1,1,1,0,1,0
Multi,Male,95,1142,2141,1.35,1,4,0,0,3,4,4,1,1,0,0,1
Asian,Female,72,1521,2141,3.74,1,4,1,1,1,2,3,0.5,0.666666667,0.25,1,1
White,Male,95,1600,2141,1.04,1,1,0,1,0,0,1,0,0,0,0,0
Multi,Female,81,997,2141,3.54,1,2,0,1,0,1,2,0.5,0.5,0,0,0
Hispanic,Male,60,1338,2141,1.3,1,5,0,1,1,4,5,0.8,0.8,0,1,1
Hispanic,Female,57,1128,2141,3.41,1,2,0,1,0,1,2,0.5,0.5,0,0,0
Hispanic,Female,57,1281,2141,1.77,1,7,0,3,3,4,7,0.571428571,0.571428571,0,2,1
Hispanic,Male,68,1283,2141,0.51,0,4,2,0,1,2,2,0.5,1,0.5,0,0
Hispanic,Female,59,1527,2141,2.44,1,5,0,1,3,4,5,0.8,0.8,0,0,1
Afram,Male,80,998,2141,2.98,1,6,1,2,1,3,5,0.5,0.6,0.166666667,0,1
White,Male,74,1093,2131,2.2,1,2,0,0,1,2,2,1,1,0,1,0
White,Male,88,1417,2141,0.87,1,8,1,4,0,3,7,0.375,0.428571429,0.125,1,1
Hispanic,Female,96,1335,2141,3.58,1,3,0,1,2,2,3,0.666666667,0.666666667,0,0,1
Asian,Female,85,1123,2141,3.99,1,4,0,2,0,2,4,0.5,0.5,0,0,1
Afram,Male,70,1164,2141,3.61,1,4,0,1,1,3,4,0.75,0.75,0,0,1
Hispanic,Male,88,1317,2141,2.23,1,4,1,1,1,2,3,0.5,0.666666667,0.25,1,1
Afram,Female,74,936,2141,2.49,1,2,0,2,0,0,2,0,0,0,0,0
Hispanic,Male,62,1100,2141,2.64,1,4,0,0,2,4,4,1,1,0,0,1
Asian,Female,65,1039,2141,2.34,1,1,0,1,0,0,1,0,0,0,0,0
Hispanic,Male,82,999,2141,0.64,1,6,3,2,0,1,3,0.166666667,0.333333333,0.5,2,1
Hispanic,Male,56,934,2141,0.52,1,5,1,1,0,3,4,0.6,0.75,0.2,1,1
Afram,Male,92,1187,2131,3.44,1,5,1,0,3,4,4,0.8,1,0.2,3,1
Afram,Male,76,1308,2141,0.88,1,2,0,2,0,0,2,0,0,0,0,0
Asian,Female,66,1470,2141,0.98,1,2,1,1,0,0,1,0,0,0.5,0,0
Asian,Female,89,1291,2141,2.62,1,2,0,2,0,0,2,0,0,0,1,0
Multi,Male,77,1233,2141,2.85,1,3,0,2,0,1,3,0.333333333,0.333333333,0,0,1
Afram,Male,95,1475,2141,1.52,1,3,1,0,0,2,2,0.666666667,1,0.333333333,1,0
Asian,Female,87,1509,2141,3.04,1,1,0,0,1,1,1,1,1,0,0,0
Asian,Female,87,1254,2141,1.25,1,3,0,1,0,2,3,0.666666667,0.666666667,0,1,1
White,Female,92,914,2141,3.75,1,6,0,2,1,4,6,0.666666667,0.666666667,0,1,1
Asian,Female,62,918,2141,3.34,1,8,1,1,1,6,7,0.75,0.857142857,0.125,1,1
Multi,Male,89,1430,2141,0.87,0,5,1,2,2,2,4,0.4,0.5,0.2,0,1
Afram,Male,75,1240,2131,1.18,1,2,1,0,0,1,1,0.5,1,0.5,0,0
Multi,Female,84,1081,2141,2.44,1,7,5,0,0,2,2,0.285714286,1,0.714285714,0,0
Asian,Female,84,1135,2141,2.02,1,3,1,0,2,2,2,0.666666667,1,0.333333333,1,0
Afram,Male,75,1110,2141,0.76,0,3,1,2,0,0,2,0,0,0.333333333,0,0
Multi,Female,84,1035,2141,3.64,1,6,0,2,0,4,6,0.666666667,0.666666667,0,2,1
Multi,Male,72,1113,2141,1.66,1,2,0,0,1,2,2,1,1,0,0,0
Afram,Female,74,995,2141,3.16,1,3,1,0,0,2,2,0.666666667,1,0.333333333,2,0
Asian,Female,95,941,2141,2.04,1,4,2,1,0,1,2,0.25,0.5,0.5,0,0
Afram,Male,57,1155,2141,1.65,1,1,0,0,1,1,1,1,1,0,0,0
Afram,Female,73,907,2141,2.02,1,4,0,2,0,2,4,0.5,0.5,0,0,1
White,Male,70,1566,2141,3.74,1,6,2,0,1,4,4,0.666666667,1,0.333333333,1,1
Afram,Female,92,1421,2131,3.21,1,4,4,0,0,0,0,0,NA,1,0,0
Hispanic,Female,80,1411,2131,0.51,1,6,1,0,1,5,5,0.833333333,1,0.166666667,1,1
Asian,Female,59,1532,2141,2.18,1,1,0,0,0,1,1,1,1,0,0,0
Asian,Male,77,1017,2141,2.58,1,5,2,1,0,2,3,0.4,0.666666667,0.4,1,1
Afram,Male,70,1582,2141,3.65,1,3,1,0,2,2,2,0.666666667,1,0.333333333,0,0
Asian,Female,96,1340,2141,1.65,1,7,2,2,2,3,5,0.428571429,0.6,0.285714286,0,1
Asian,Female,59,1097,2141,1.44,1,7,1,1,2,5,6,0.714285714,0.833333333,0.142857143,1,1
White,Female,77,1483,2141,2.29,1,4,1,1,1,2,3,0.5,0.666666667,0.25,2,1
White,Female,68,1282,2141,2.73,1,1,0,0,0,1,1,1,1,0,0,0
Asian,Female,66,1353,2141,2.59,1,3,1,2,0,0,2,0,0,0.333333333,1,0
Multi,Male,90,1085,2141,1.88,1,4,0,2,1,2,4,0.5,0.5,0,0,1
Hispanic,Male,58,936,2141,1.11,1,6,1,3,2,2,5,0.333333333,0.4,0.166666667,0,1
Multi,Female,71,1246,2131,2.82,1,6,0,0,5,6,6,1,1,0,1,1
Hispanic,Male,96,1137,2141,1.76,1,1,1,0,0,0,0,0,NA,1,1,0
White,Female,97,922,2141,3.94,1,4,1,3,0,0,3,0,0,0.25,0,1
Multi,Female,84,1123,2141,2.74,1,2,0,1,0,1,2,0.5,0.5,0,1,0
Asian,Female,71,1415,2141,2.91,1,5,1,2,0,2,4,0.4,0.5,0.2,1,1
Multi,Male,66,1533,2141,0.96,1,3,0,1,0,2,3,0.666666667,0.666666667,0,0,1
Afram,Female,79,1352,2141,3.43,1,5,1,2,0,2,4,0.4,0.5,0.2,0,1
Hispanic,Male,95,1155,2141,3.1,1,3,0,1,1,2,3,0.666666667,0.666666667,0,0,1
Hispanic,Male,84,1045,2141,2.46,1,2,0,1,0,1,2,0.5,0.5,0,2,0
Afram,Male,55,1149,2141,2.23,1,2,0,1,0,1,2,0.5,0.5,0,0,0
Afram,Male,68,1280,2141,3.08,1,5,0,0,2,5,5,1,1,0,0,1
Hispanic,Female,65,1585,2141,1.53,1,1,0,1,0,0,1,0,0,0,0,0
Asian,Male,90,1188,2141,2.28,1,3,0,1,0,2,3,0.666666667,0.666666667,0,0,1
Afram,Female,68,1554,2141,2.79,1,3,0,2,0,1,3,0.333333333,0.333333333,0,2,1
Asian,Female,72,1421,2141,2.97,1,3,1,1,1,1,2,0.333333333,0.5,0.333333333,0,0
Hispanic,Male,62,1066,2141,2.18,1,3,0,0,1,3,3,1,1,0,0,1
Afram,Female,79,1505,2141,1.6,1,2,1,0,1,1,1,0.5,1,0.5,2,0
White,Male,87,963,2141,2.67,1,1,0,0,1,1,1,1,1,0,0,0
Afram,Female,84,1037,2141,3.38,1,2,0,2,0,0,2,0,0,0,0,0
Multi,Female,76,1096,2141,1.61,1,8,2,2,0,4,6,0.5,0.666666667,0.25,1,1
Hispanic,Female,71,1373,2141,2.35,1,3,0,2,1,1,3,0.333333333,0.333333333,0,1,1
Hispanic,Female,76,1322,2131,3.76,1,1,0,0,0,1,1,1,1,0,0,0
Afram,Male,70,1081,2141,1.48,1,1,0,1,0,0,1,0,0,0,0,0
Asian,Male,99,1594,2141,3.26,1,6,1,2,1,3,5,0.5,0.6,0.166666667,1,1
Hispanic,Male,100,1556,2141,1.89,1,1,0,0,0,1,1,1,1,0,0,0
White,Male,87,956,2141,2.73,1,5,1,3,0,1,4,0.2,0.25,0.2,2,1
Multi,Female,60,1265,2141,3.3,1,3,1,0,0,2,2,0.666666667,1,0.333333333,1,0
White,Female,92,968,2141,3.65,1,3,1,1,1,1,2,0.333333333,0.5,0.333333333,0,0
Asian,Male,81,1473,2141,3.41,1,5,2,3,0,0,3,0,0,0.4,2,1
Asian,Female,87,992,2141,2.94,1,3,0,1,1,2,3,0.666666667,0.666666667,0,1,1
Asian,Female,77,1236,2141,1.21,1,4,1,2,0,1,3,0.25,0.333333333,0.25,2,1
Afram,Female,78,1215,2141,2.64,1,1,0,1,0,0,1,0,0,0,0,0
Multi,Male,58,918,2141,2.98,1,3,0,1,0,2,3,0.666666667,0.666666667,0,0,1
White,Female,94,1442,2141,0.78,1,4,0,0,1,4,4,1,1,0,0,1
Afram,Male,73,1292,2141,2.14,1,5,2,0,0,3,3,0.6,1,0.4,0,1
Hispanic,Male,91,1416,2141,1.03,1,1,0,0,0,1,1,1,1,0,0,0
Afram,Female,74,1275,2141,1.75,1,5,1,1,2,3,4,0.6,0.75,0.2,1,1
Multi,Female,95,1528,2141,3.03,1,2,0,0,1,2,2,1,1,0,0,0
Afram,Male,95,1137,2141,1.95,1,4,1,2,0,1,3,0.25,0.333333333,0.25,1,1
Hispanic,Female,57,1425,2141,1.38,1,3,1,0,1,2,2,0.666666667,1,0.333333333,1,0
Hispanic,Female,60,927,2141,3.23,1,1,0,1,0,0,1,0,0,0,0,0
Hispanic,Female,64,1537,2141,2.63,1,3,0,2,0,1,3,0.333333333,0.333333333,0,1,1
Asian,Female,95,1542,2131,3.55,1,2,0,0,2,2,2,1,1,0,0,0
Multi,Male,100,1201,2141,0.99,1,3,0,1,2,2,3,0.666666667,0.666666667,0,0,1
Asian,Female,98,1019,2141,1.58,1,4,0,4,0,0,4,0,0,0,0,1
White,Male,72,1473,2141,1.67,1,4,1,2,1,1,3,0.25,0.333333333,0.25,1,1
Multi,Female,78,924,2141,0.59,0,5,1,1,2,3,4,0.6,0.75,0.2,2,1
Afram,Female,70,1120,2141,1.21,1,8,1,1,0,6,7,0.75,0.857142857,0.125,2,1
Afram,Female,95,1162,2141,3.89,1,4,1,0,2,3,3,0.75,1,0.25,1,1
Afram,Female,94,1314,2141,1.25,1,1,0,1,0,0,1,0,0,0,0,0
White,Female,70,1080,2141,0.65,0,3,0,2,0,1,3,0.333333333,0.333333333,0,0,1
Asian,Male,63,1122,2141,2.37,1,4,0,1,1,3,4,0.75,0.75,0,1,1
Multi,Male,77,1451,2141,0.92,1,9,0,3,0,6,9,0.666666667,0.666666667,0,3,1
Asian,Female,56,983,2141,1.41,1,2,0,1,0,1,2,0.5,0.5,0,0,0
Multi,Male,61,1099,2141,2.53,1,2,1,0,1,1,1,0.5,1,0.5,1,0
Hispanic,Male,97,1183,2141,2.45,1,3,1,0,0,2,2,0.666666667,1,0.333333333,1,0
Asian,Female,85,1283,2141,2.71,1,2,0,0,2,2,2,1,1,0,0,0
White,Male,56,1014,2141,3.41,1,4,1,1,0,2,3,0.5,0.666666667,0.25,2,1
Asian,Female,100,1027,2141,1.74,1,3,1,1,0,1,2,0.333333333,0.5,0.333333333,2,0
Asian,Male,56,1231,2141,1.63,1,6,1,1,3,4,5,0.666666667,0.8,0.166666667,2,1
Asian,Male,65,1318,2141,2.14,1,4,0,1,0,3,4,0.75,0.75,0,0,1
Afram,Male,73,1290,2141,3.25,1,5,1,1,0,3,4,0.6,0.75,0.2,0,1
Afram,Male,85,1321,2141,3.72,1,5,1,2,0,2,4,0.4,0.5,0.2,1,1
Afram,Female,69,1114,2131,1.55,1,6,0,0,3,6,6,1,1,0,2,1
White,Female,71,1507,2141,1.89,1,10,4,2,2,4,6,0.4,0.666666667,0.4,1,1
Asian,Female,90,1243,2141,2.25,1,5,3,1,0,1,2,0.2,0.5,0.6,2,0
Hispanic,Male,70,1188,2141,3.7,1,2,1,0,0,1,1,0.5,1,0.5,0,0
Hispanic,Male,92,1222,2141,2.4,1,1,0,1,0,0,1,0,0,0,0,0
Asian,Male,80,1574,2141,2.03,1,7,3,0,0,4,4,0.571428571,1,0.428571429,1,1
Asian,Female,65,1520,2141,0.59,0,6,0,3,0,3,6,0.5,0.5,0,2,1
White,Female,55,1490,2141,3.21,1,1,0,1,0,0,1,0,0,0,0,0
White,Female,63,1322,2141,2.72,1,4,0,2,1,2,4,0.5,0.5,0,1,1
Afram,Female,72,1043,2141,0.66,0,4,1,3,0,0,3,0,0,0.25,1,1
White,Male,100,1041,2141,1.68,1,3,0,2,0,1,3,0.333333333,0.333333333,0,0,1
Afram,Male,81,1235,2131,0.52,1,3,0,0,1,3,3,1,1,0,1,1
Multi,Female,84,1057,2141,0.55,0,2,1,0,0,1,1,0.5,1,0.5,0,0
White,Male,56,980,2141,1.82,1,5,0,1,1,4,5,0.8,0.8,0,1,1
Multi,Female,85,900,2141,2.51,1,3,2,1,0,0,1,0,0,0.666666667,0,0
Hispanic,Male,79,1463,2141,0.55,0,2,0,1,0,1,2,0.5,0.5,0,0,0
Hispanic,Female,80,1495,2141,1.01,1,5,1,3,1,1,4,0.2,0.25,0.2,1,1
Hispanic,Male,100,1383,2141,2.67,1,1,0,0,0,1,1,1,1,0,1,0
Multi,Male,92,966,2141,1.35,1,3,2,0,0,1,1,0.333333333,1,0.666666667,1,0
Hispanic,Female,93,1458,2141,3.32,1,2,0,1,0,1,2,0.5,0.5,0,1,0
Afram,Female,72,1146,2141,3.11,1,5,0,2,1,3,5,0.6,0.6,0,2,1
White,Male,65,1415,2141,2.23,1,2,1,0,1,1,1,0.5,1,0.5,0,0
White,Female,76,1599,2131,3.11,1,1,0,0,0,1,1,1,1,0,0,0
White,Male,90,1587,2141,2.32,1,4,1,0,2,3,3,0.75,1,0.25,1,1
Hispanic,Male,91,1087,2141,2.54,1,3,0,2,0,1,3,0.333333333,0.333333333,0,1,1
Hispanic,Male,72,1262,2141,3.78,1,6,3,1,1,2,3,0.333333333,0.666666667,0.5,2,1
Multi,Male,66,1371,2141,2.56,1,3,0,0,0,3,3,1,1,0,1,1
Asian,Male,73,919,2141,1.57,1,4,1,2,0,1,3,0.25,0.333333333,0.25,1,1
Afram,Female,73,1148,2141,0.87,0,1,0,0,1,1,1,1,1,0,1,0
Hispanic,Male,67,1356,2141,1.01,1,7,1,2,1,4,6,0.571428571,0.666666667,0.142857143,1,1
Hispanic,Male,71,1510,2141,1.16,1,6,0,3,2,3,6,0.5,0.5,0,1,1
Multi,Female,70,1492,2141,1.31,1,5,0,1,0,4,5,0.8,0.8,0,2,1
White,Male,79,1453,2141,3.23,1,7,2,3,2,2,5,0.285714286,0.4,0.285714286,2,1
Hispanic,Female,72,1276,2131,1.61,1,3,1,0,2,2,2,0.666666667,1,0.333333333,1,0
Afram,Male,80,1274,2131,0.84,0,4,1,0,3,3,3,0.75,1,0.25,1,1
Multi,Female,73,1022,2141,3.73,1,3,1,1,0,1,2,0.333333333,0.5,0.333333333,0,0
Hispanic,Female,71,1491,2141,1.75,1,3,0,1,2,2,3,0.666666667,0.666666667,0,2,1
Asian,Male,94,1187,2141,1.59,1,1,0,0,0,1,1,1,1,0,0,0
Multi,Female,81,1454,2141,2.14,1,5,0,1,1,4,5,0.8,0.8,0,0,1
Hispanic,Male,96,957,2141,2.58,1,5,2,1,0,2,3,0.4,0.666666667,0.4,3,1
Afram,Female,62,1597,2141,1.63,1,4,1,2,1,1,3,0.25,0.333333333,0.25,1,1
Afram,Male,73,1471,2141,3.87,1,4,0,3,0,1,4,0.25,0.25,0,0,1
White,Male,82,1103,2141,2.75,1,7,1,1,0,5,6,0.714285714,0.833333333,0.142857143,0,1
